"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_login","TestSmokeLoginPage","","","First State Login Page Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","1","tests","test_unit_job","TestSmokeJobPage","","","Main Filter button Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","Input Field Search Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_login","TestSmokeLoginPage","","","Valid email login validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","Pagination Section Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_example","","","","test_get_started_link",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","1","tests","test_example","","","","test_has_title",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","'Tipe Pengaturan Kerja' Check Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","1","tests","test_example","","","","test_karirlab_title_page",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_res_builder","TestSmokeLoginPage","","","Informasi Resume Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_login","TestSmokeLoginPage","","","Second State Login Page Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","'Pengalaman Kerja' Check Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","1","tests","test_unit_job","TestSmokeJobPage","","","Main Job Card Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","'Tipe Pekerjaan' Check Validation",""
"skipped","Tue Aug 06 17:56:58 GMT 2024","Tue Aug 06 17:56:58 GMT 2024","0","tests","test_unit_job","TestSmokeJobPage","","","Sorting Control Test Validation",""
