"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","3","0","0"
"Job Page","Sort","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Filter","Job Page Smoke Test","0","0","5","0","0"
"Job Page","Checkbox","Job Page Smoke Test","0","0","3","0","0"
"Job Page","Job Card","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Carousel","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Auto Complete","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Input","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Pagination","Job Page Smoke Test","0","0","1","0","0"
"Job Page","MSIB","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Main","Job Page Smoke Test","0","0","1","0","0"
"Job Page","Easy Apply","Job Page Smoke Test","0","0","1","0","0"
